HIGH,TRD_DT,CHG,SECU_CODE,VOLUME,TURN,PRE_CLOSE,LOW,SWING,CLOSE,ADJ_TYPE,PCT_CHG,OPEN,AMT
3.3414,20030429,-0.26,600004.SSE,752128.76,18.8032,3.3567,3.1726,0.0503,3.2569999999999997,before,-2.9714,3.2608,635863436.0
3.491,20030430,0.37,600004.SSE,801225.37,20.0306,3.2569999999999997,3.28,0.0648,3.3989,before,4.3581,3.28,710063498.0
3.4028,20030512,-0.18,600004.SSE,361223.95,9.0306,3.3989,3.1841,0.0643,3.3299,before,-2.0316,3.3376,308806284.0
3.3222,20030513,-0.59,600004.SSE,392776.96,9.8194,3.3299,3.069,0.076,3.1035,before,-6.7972,3.3145,325715933.0
3.2569999999999997,20030514,0.26,600004.SSE,303873.7,7.5968,3.1035,3.0383,0.0705,3.2033,before,3.2138,3.069,253425348.0
3.2954,20030515,0.2,600004.SSE,281839.18,7.046,3.2033,3.1304,0.0515,3.28,before,2.3952,3.1956,236834456.0
3.3299,20030516,0.01,600004.SSE,360651.25,9.0163,3.28,3.2071,0.0374,3.2838,before,0.11699999999999999,3.28,307204529.0
3.445,20030519,0.19,600004.SSE,462504.44,11.5626,3.2838,3.2992,0.0444,3.3567,before,2.2196,3.2992,407544272.0
3.3874,20030520,-0.07,600004.SSE,170675.64,4.2669,3.3567,3.28,0.032,3.3299,before,-0.8,3.3567,147727684.0
3.3644,20030521,-0.08,600004.SSE,128595.47,3.2149,3.3299,3.2685,0.0288,3.2992,before,-0.9217,3.3299,110939930.0
3.3452,20030522,0.05,600004.SSE,103012.82,2.5753,3.2992,3.2608,0.0256,3.3184,before,0.5814,3.2915,88781118.0
3.6521,20030523,0.47,600004.SSE,729267.6,18.2317,3.3184,3.2647,0.1168,3.4987,before,5.4335,3.3376,670901997.0
3.6061,20030526,0.03,600004.SSE,467181.8,11.6795,3.4987,3.4872,0.034,3.5102,before,0.3289,3.491,431132436.0
3.5639,20030527,0.0,600004.SSE,201880.05,5.047,3.5102,3.4757,0.0251,3.5102,before,0.0,3.5255,184901453.0
3.5601,20030528,-0.13,600004.SSE,331831.74,8.2958,3.5102,3.445,0.0328,3.4603,before,-1.4208,3.5294,302104859.0
3.5946,20030529,0.33,600004.SSE,230255.4,5.7564,3.4603,3.4373,0.0455,3.5869,before,3.6585,3.4603,210900164.0
3.656,20030530,-0.12,600004.SSE,260117.35,6.5029,3.5869,3.5294,0.0353,3.5409,before,-1.2834,3.5984,244128620.0
3.6329,20030602,0.05,600004.SSE,215820.98,5.3955,3.5409,3.5294,0.0293,3.5601,before,0.5417,3.5485,201804921.0
3.5946,20030603,-0.1,600004.SSE,132267.26,3.3067,3.5601,3.5179,0.0216,3.5217,before,-1.0776,3.5677,122447236.0
3.5677,20030604,0.09,600004.SSE,122370.84,3.0593,3.5217,3.4833,0.024,3.5562,before,0.9804,3.514,112488205.0
3.5639,20030605,-0.12,600004.SSE,121087.03,3.0272,3.5562,3.4872,0.0216,3.5102,before,-1.2945,3.537,110737203.0
3.5601,20030606,0.01,600004.SSE,97158.78,2.4290000000000003,3.5102,3.4795,0.023,3.514,before,0.1093,3.491,88911859.0
3.5294,20030609,-0.04,600004.SSE,69466.22,1.7367,3.514,3.4833,0.0131,3.4987,before,-0.4367,3.4872,63322602.0
3.6023,20030610,0.17,600004.SSE,169545.72,4.2386,3.4987,3.4948,0.0307,3.5639,before,1.864,3.4987,157420724.0
3.6329,20030611,0.11,600004.SSE,139923.61,3.4981,3.5639,3.5524,0.0226,3.6061,before,1.1841,3.5677,131429944.0
3.6253,20030612,-0.08,600004.SSE,89165.46,2.2291,3.6061,3.5601,0.0181,3.5754,before,-0.8511,3.6214,83354483.0
3.6253,20030613,0.0,600004.SSE,66772.04,1.6693,3.5754,3.5639,0.0172,3.5754,before,0.0,3.5907,62495500.0
3.5984,20030616,-0.05,600004.SSE,66458.91,1.6615,3.5754,3.5179,0.0225,3.5562,before,-0.5365,3.5754,61435524.0
3.5562,20030617,-0.08,600004.SSE,50694.64,1.2674,3.5562,3.5102,0.0129,3.5255,before,-0.863,3.537,46610786.0
3.5754,20030618,-0.05,600004.SSE,60741.05,1.5185,3.5255,3.4987,0.0218,3.5063,before,-0.5441,3.5255,55781138.0
3.5255,20030619,-0.07,600004.SSE,65326.75,1.6332,3.5063,3.4565,0.0197,3.4795,before,-0.7659,3.5025,59409928.0
3.5677,20030620,0.01,600004.SSE,51423.99,1.2856,3.4795,3.4642,0.0298,3.4833,before,0.1103,3.5677,46895164.0
